title,link,preview
마이너리티 리포트가 현실로…'AI+CCTV'로 범죄 예측 가능해진다,http://www.zdnet.co.kr/view/?no=20200102091441,"국내 연구진이 과거 범죄 통계정보와 CCTV 영상을 자동 분석해 범죄 등 위험 상황 발생을 예측하는 인공지능(AI) 기술을 개발하고 있어, 향후 범죄 피해를 예방하는데 큰 도움이 될 전망이다. 한국전자통신연구원(ETRI)은 현재 CCTV 상황을 분석해 어떤 유형의 범죄가 발생할지 확률적으로 보여주는 '예측적 영상보안 원천기술'을 지난해부터 개발 중이라고 밝"
"中 화웨이, 첫 무인 매장...로봇이 24시간 판매",http://www.zdnet.co.kr/view/?no=20200102082548,직원없이 로봇 만으로 운영되는 화웨이의 유통 실험이 시작됐다. 현장에서 구매할 수도 있지만 인터넷에서 구매하고 픽업만 할 수도 있어 온오프라인이 결합한 '신유통' 시도로도 분석된다. 중국 언론 콰이커지에 따르면 화웨이가 1일 무인(無人) 판매점 운영을 개시했다. 중국 우한에 소재한 이 판매점은 넓지 않은 크기이지만 화웨이의 첫 무인 판매점이다. 24시간 연
인간 지식 넘보는 AI...'사람 중심' 윤리 기준 필수,http://www.zdnet.co.kr/view/?no=20191231230024,"""성공적으로 안전한 인공지능(AI)을 만들 확률은 단 5~10%뿐이다...사람의 지능을 훨씬 뛰어 넘는 울트라 인텔리전트 AI가 등장했을 때 기대할 수 있는 가장 자비로운 상황은 그들이 우리를 애완동물처럼 대하는 것뿐이다."" (일론 머스크 테슬라 대표) ""AI는 전세계적으로 적용되는 큰 영향력을 가진 기술이다. 이 기술은 매우 빠르게 성장하고, 또 강력하게"
"CES로 날아간 대한상의…""韓 산업 현주소 점검""",http://www.zdnet.co.kr/view/?no=20200108135306,"대한상공회의소가 처음으로 CES 2020 출장길에 올랐다. 한국 산업계 기술혁신 현주소와 미래 기술 트렌드를 점검하고, 국내 일자리 창출을 주도하고 있는 선진 사례 벤치마킹에 나선다. 대한상공회의소는 미국 라스베가스에서 열리는 세계가전전시회(CES)에 참관단을 파견했다고 8일 밝혔다. 박용만 대한상의 회장은 상의회장 취임 이후 첫 CES 방문이다. 대한상의"
"중기 R&D 지원액 1조4550억...AI 빅데이터, 스마트센서 신설",http://www.zdnet.co.kr/view/?no=20200107171334,"올해 중소기업을 위한 연구개발(R&D) 지원액이 역대 최대 규모인 1조 4550억에 달한다. 지난해(1조1010억)보다 3500억 정도 늘었다. 인공지능(AI) 등 4차산업혁명 분야가 신설됐고, 소부장(소재, 부품, 장비) 분야 기술자립(1186억원)에 중점을 둔다. 또 다양한 R&D 수요 충족을 위해 규제해결형 등 18개(2807억원) 연구개발 사업도 신"
"[CES 2020] SK하이닉스, 4차 산업혁명 이끌 혁신 메모리 공개",http://www.zdnet.co.kr/view/?no=20200107163303,SK하이닉스가 세계 최대 규모의 첨단 기술 전시회 CES에서 4차 산업혁명 시대를 주도할 혁신적인 메모리 솔루션을 선보인다. 7일 SK하이닉스는 오는 10일(현지 시각)까지 미국 라스베이거스에서 열리는 'CES(Consumer Electronics Show) 2020'에 참가해 ▲인공지능 ▲증강·가상현실 ▲오토모티브 ▲사물인터넷 ▲ ▲5세대 이동통신 기술 
"효성인포, 스마트시티 통합플랫폼 시장 적극 공략",http://www.zdnet.co.kr/view/?no=20200107144729,효성인포메이션시스템(대표 정태수)은 통합 인프라 환경부터 지능형 영상 분석까지 솔루션을 갖추고 스마트시티 통합플랫폼 사업을 적극적으로 펼칠 계획이라고 7일 밝혔다. 현재 대부분의 지자체에서는 CCTV 영상 통합관제 시스템 구축이 완료됐다. 통합된 영상을 분석하기 위한 선별관제 시스템과 영상을 활용한 서비스를 제공하는 스마트시티 통합플랫폼 사업에 대한 관심이
[CES 2020] LG 박일평 “AI 발전할수록 고객의 더 나은 삶 지향해야”,http://www.zdnet.co.kr/view/?no=20200107053704,[라스베이거스(미국)=권혜미 기자] “인공지능 발전 단계는 기술 자체의 발전에만 초점을 맞추지 않고 기술과 함께 인간의 경험이 어떻게 달라지는가에 대한 방향성을 제시합니다.” LG전자는 6일(현지시간) 미국 라스베이거스 만달레이베이 호텔에서 글로벌 프레스 컨퍼런스를 열고 이같이 밝혔다. 이날 행사에서 LG전자 CTO(최고기술책임자) 박일평 사장은 캐나다 인
"[CES 2020] 삼성電, AI·5G 기술로 '경험의 시대' 연다",http://www.zdnet.co.kr/view/?no=20200104145932,삼성전자가 7일(현지시간)부터 10일까지 미국 라스베이거스에서 열리는 세계 최대 첨단기술 전시회 'CES 2020'에서 소비자들의 일상을 변화시킬 미래 라이프스타일 솔루션을 대거 공개한다. 삼성전자는 참가업체 중 가장 넓은 3368㎡(약 1021평) 규모의 전시관을 마련하고 AI·5G·IoT 등 최신 기술을 적용한 커넥티드 리빙 솔루션과 시장을 주도할 혁신
"빗썸, 블록체인 기술연구소 설립",http://www.zdnet.co.kr/view/?no=20200106085619,암호화폐 거래소 빗썸(대표 최재원)은 블록체인 기술 및 거래소 시스템 고도화를 위해 자체 기술연구소를 설립했다고 6일 밝혔다. 빗썸은 연구소 조직을 ▲퍼블릭 블록체인 트랜잭션 분석 및 암호화폐 프라이빗 키 보안 강화를 위한 시스템 구조 설계 등을 연구하는 '블록체인 연구팀' ▲고성능 매칭 시스템을 위한 아키텍처 설계 연구를 진행할 '아키텍처 연구팀' ▲암호
산업통상자원 R&D 전략기획단장에 나경환 단국대 산학부총장,http://www.zdnet.co.kr/view/?no=20200105103837,"산업통상자원부는 5일 제4기 산업통상자원 R&D 전략기획단장에 나경환 단국대학교 산학부총장을 선임했다. 나 단장은 2년 임기동안 비상근으로 근무하면서 산업부 R&D 투자와 기획방향을 제시하고 새로운 R&D 정책 발굴과 제언 등의 역할을 맡는다. 산업부 관계자는 “최근 인공지능, 빅데이터로 대변되는 4차 산업혁명 등으로 산업구조의 급격한 전환기에 정부 R&D"
"LGU+ “IPTV 가입 이유, 키즈 콘텐츠 때문”",http://www.zdnet.co.kr/view/?no=20200104214037,"LG유플러스(대표 하현회)는 IPTV 서비스인 U+tv 이용자 중 절반이 키즈 콘텐츠를 이용하기 위해 가입한 것으로 조사됐다고 5일 밝혔다. LG유플러스가 지난해 U+tv를 이용 중인 750가구를 대상으로 서비스 가입 이유를 묻는 설문을 한 결과, 키즈 콘텐츠인 '아이들나라'를 위해 가입했다고 응답한 가구는 47%로 나타났다. '가입 혜택' 때문이라고 응답"
"박영선 장관 ""스마트 대한민국 만들고 3세대 글로벌 기업 만드는데 올해 방점""",http://www.zdnet.co.kr/view/?no=20200103155045,"""중기부의 올해 목표는 디지털 경제로의 대전환, 스마트 대한민국이다. 스마트공장, 스마트상점, 스마트서비스에 주력하고 3세대 글로벌 기업을 만드는데 올해 중기부가 방점을 찍겠다."" 박영선 중소벤처기업부(중기부) 장관은 3일 서울 강남역 인근 스마트상점 '라운지엑스'에서 올해 첫 간부회의를 개최, 이 같이 강조했다. '라운지엑스'는 로봇 바리스타와 무인 로봇"
빅데이터 플랫폼 10개 상반기중 연계...데이터 1400여종 개방도,http://www.zdnet.co.kr/view/?no=20200103141634,"정부가 지난해 구축한 10개 분야 빅데이터 플랫폼의 1400여종 데이터를 오는 1~2월말까지 순차적으로 전면 개방한다. 다양한 혁신서비스 발굴을 위한 것이다. 또10개 빅데이터 플랫폼을 연계하는 공통 기준도 올 상반기중 마련한다. 3일 과학기술정보통신부(과기정통부)는 그 동안 구축한 데이터 인프라를 기반으로 양질의 데이터 개방과 데이터 활용을 확대, 데이터"
인간과 AI가 공존하는 세상 도래했다,http://www.zdnet.co.kr/view/?no=20200102180744,"인공지능(AI)이 사회 주요 키워드로 자리잡으면서 일상 생활에서 AI를 토대로 한 서비스들도 쉽게 찾아볼 수 있게 됐다. 현재 교육·채용·소비·문화·모빌리티·의료·복지 등 폭넓은 분야에 AI 기반 혁신 서비스가 등장했고, 더 진화된 서비스들도 도입을 앞두고 있다. 인류의 삶 전반에서 AI가 길잡이 역할을 수행한다는 과거 전망이 현실화되고 있는 것이다. 이에"
국내 IT 기업 인공지능 중심으로 변화한다,http://www.zdnet.co.kr/view/?no=20200102190645,"4차 산업혁명 시대의 핵심 키워드로 인공지능(AI)이 급부상하고 있다. 세계 각국이 경쟁적으로 AI 관련 신규 서비스를 선보이기 시작했으며 지난해까지 제조, 금융, 의료 등 일부 산업에 시범적으로 적용되던 AI가 본격적으로 다방면 산업에 적용되면서 2020년은 AI해가 될 것이라는 전망이 제기되고 있다. 이에 정부 부처는 AI를 국가 전략 핵심 중 하나로 "
"SK, '회장님 말씀' 없는 파격 신년회 눈길",http://www.zdnet.co.kr/view/?no=20200102160209,"SK가 2일 일반 시민과 고객, 구성원 등의 목소리를 듣는 방식으로 신년회를 열며 새해 경영활동을 시작했다. SK는 이날 서울 광진구 워커힐호텔에서 2020년 신년회를 개최했다. 최태원 회장과 최재원 SK수석부회장, 최창원 SK디스커버리 부회장, 조대식 SUPEX추구협의회 의장 및 7개 위원회 위원장, 주요 관계사 CEO 등 600여명이 참석했다. 신년회는"
"신학철 LG화학 ""올해는 '실행의 해'…변화·혁신 주도하자""",http://www.zdnet.co.kr/view/?no=20200102114431,"신학철 LG화학 최고경영자(CEO) 부회장이 2일 ""임직원이 '변화와 혁신의 주도자'가 돼야 한다""고 강조했다. 신 부회장은 이날 신년사를 통해 ""앞으로의 변화의 속도와 양은 지금까지보다 훨씬 빠르고 클 것으로 예상된다""며 ""올해는 LG화학의 '실행의 해(The Year of execution)'가 될 것""이라고 밝혔다. 아울러 ▲시장·고객 중심의 포트폴리"
"권봉석 LG전자 사장 ""고객가치 기반 성장·변화 이루자""",http://www.zdnet.co.kr/view/?no=20200102085330,"LG전자 새 사령탑에 선임된 권봉석 최고경영자(CEO) 사장이 디지털 전환을 가속화해 '성장을 통한 변화, 변화를 통한 성장'을 이뤄가겠다고 강조했다. 권봉석 사장은 2일 시무식을 대신해 임직원들에게 이메일로 신년 메시지를 전했다. 권 사장이 보낸 이메일의 제목은 'CEO 일기로 전하는 신년 메시지(New year message from CEO's diar"
하현회 부회장 “2020년 디지털 혁신 직접 챙기겠다”,http://www.zdnet.co.kr/view/?no=20200102095604,하현회 LG유플러스 부회장이 2020년 디지털 혁신을 적극 추진하겠다는 의지를 드러냈다. 하현회 부회장은 2일 온라인 시무식을 통해 “현재의 사업방식과 일하는 방식으로는 차별화된 서비스를 제공할 수 없고 이용자의 니즈와 불편을 파악하기도 힘들다”며 “근본적인 변화와 혁신을 이루기 위해서는 전 사업영역에서 디지털 혁신을 적극 추진해야 한다”고 임직원을 독려했
마이너리티 리포트가 현실로…'AI+CCTV'로 범죄 예측 가능해진다,http://www.zdnet.co.kr/view/?no=20200102091441,"국내 연구진이 과거 범죄 통계정보와 CCTV 영상을 자동 분석해 범죄 등 위험 상황 발생을 예측하는 인공지능(AI) 기술을 개발하고 있어, 향후 범죄 피해를 예방하는데 큰 도움이 될 전망이다. 한국전자통신연구원(ETRI)은 현재 CCTV 상황을 분석해 어떤 유형의 범죄가 발생할지 확률적으로 보여주는 '예측적 영상보안 원천기술'을 지난해부터 개발 중이라고 밝"
"中 화웨이, 첫 무인 매장...로봇이 24시간 판매",http://www.zdnet.co.kr/view/?no=20200102082548,직원없이 로봇 만으로 운영되는 화웨이의 유통 실험이 시작됐다. 현장에서 구매할 수도 있지만 인터넷에서 구매하고 픽업만 할 수도 있어 온오프라인이 결합한 '신유통' 시도로도 분석된다. 중국 언론 콰이커지에 따르면 화웨이가 1일 무인(無人) 판매점 운영을 개시했다. 중국 우한에 소재한 이 판매점은 넓지 않은 크기이지만 화웨이의 첫 무인 판매점이다. 24시간 연
인간 지식 넘보는 AI...'사람 중심' 윤리 기준 필수,http://www.zdnet.co.kr/view/?no=20191231230024,"""성공적으로 안전한 인공지능(AI)을 만들 확률은 단 5~10%뿐이다...사람의 지능을 훨씬 뛰어 넘는 울트라 인텔리전트 AI가 등장했을 때 기대할 수 있는 가장 자비로운 상황은 그들이 우리를 애완동물처럼 대하는 것뿐이다."" (일론 머스크 테슬라 대표) ""AI는 전세계적으로 적용되는 큰 영향력을 가진 기술이다. 이 기술은 매우 빠르게 성장하고, 또 강력하게"
